round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions
325,0,0,848,389,1237,8,16,7,12,0,0,1184,568,4,0,0,4,2,0,0
326,0,1,848,390,1238,8,16,6,13,0,0,1190,568,4,0,0,4,2,0,0
327,0,5,848,395,1243,8,16,6,11,0,0,1206,559,4,0,0,4,2,0,0
328,0,5,848,400,1248,9,16,7,11,0,0,1207,562,4,0,0,4,2,0,0
329,3,0,851,400,1251,8,16,6,12,0,0,1211,567,4,0,0,4,2,0,0
330,0,0,851,400,1251,9,16,6,13,0,0,1219,568,4,0,0,4,2,0,0
331,1,0,852,400,1252,11,16,7,13,0,0,1225,571,4,0,0,4,2,0,0
332,0,0,852,400,1252,11,16,7,15,0,0,1230,578,4,0,0,4,2,0,0
333,2,5,854,405,1259,12,16,8,15,0,0,1238,572,4,0,0,4,2,0,0
334,0,0,854,405,1259,11,16,8,14,0,0,1242,573,4,0,0,4,2,0,0
335,1,0,855,405,1260,12,16,9,15,0,0,1251,573,4,0,0,4,2,0,0
336,0,2,855,407,1262,11,16,10,14,0,0,1256,575,4,0,0,4,2,0,0
337,0,0,855,407,1262,10,15,9,14,0,0,1256,584,4,0,0,4,2,0,1
338,2,0,857,407,1264,11,14,10,14,0,0,1258,588,4,0,0,4,2,0,0
339,8,0,865,407,1272,13,16,10,14,0,0,1271,572,4,0,0,4,2,0,0
340,3,0,868,407,1275,12,16,10,14,0,0,1271,580,4,0,0,4,2,0,0
341,0,0,868,405,1273,12,16,10,13,0,1,1275,588,4,0,0,4,2,0,0
342,0,6,868,411,1279,12,16,11,12,0,0,1278,587,4,0,0,4,2,0,0
343,0,6,868,417,1285,13,16,11,10,0,0,1278,591,4,0,0,4,2,0,0
344,5,2,873,419,1292,15,16,11,8,0,0,1278,592,4,0,0,4,2,0,0
345,5,2,878,421,1299,15,16,11,8,0,0,1278,596,4,0,0,4,2,0,0
346,0,0,878,421,1299,15,15,11,8,0,0,1281,606,4,0,0,4,2,0,0
347,0,3,878,424,1302,15,15,12,9,0,0,1294,600,4,0,0,4,2,0,0
348,5,5,883,429,1312,16,14,13,9,0,0,1302,595,4,0,0,4,2,0,0
349,6,0,889,429,1318,15,13,13,9,0,0,1318,583,4,0,0,4,2,0,0
350,5,2,894,431,1325,14,13,12,10,0,0,1320,584,4,0,0,4,2,0,0
351,0,2,894,433,1327,13,14,12,10,0,0,1320,590,4,0,0,4,2,0,0
352,7,6,901,439,1340,13,13,11,9,0,0,1321,586,4,0,0,4,2,0,0
353,3,3,904,442,1346,14,12,10,9,0,0,1325,588,4,0,0,4,2,0,0
354,3,4,907,446,1353,12,12,10,9,0,0,1325,588,4,0,0,4,2,0,0
355,5,0,912,446,1358,12,14,11,10,0,0,1330,588,4,0,0,4,2,0,0
356,3,4,915,450,1365,13,15,9,10,0,0,1333,590,4,0,0,4,2,0,0
357,0,5,915,455,1370,14,14,8,10,0,0,1340,590,4,0,0,4,2,0,0
358,0,0,915,455,1370,12,12,9,10,0,0,1343,596,4,0,0,4,2,0,0
359,0,2,915,457,1372,11,12,8,9,0,0,1353,590,4,0,0,4,2,0,0
360,8,1,923,458,1381,11,12,7,10,0,0,1360,587,4,0,0,4,2,0,0
361,0,5,923,463,1386,12,13,7,10,0,0,1360,593,4,0,0,4,2,0,0
362,0,0,923,463,1386,14,13,7,10,0,0,1369,594,4,0,0,4,2,0,0
363,5,7,928,470,1398,14,11,8,11,0,0,1381,582,4,0,0,4,2,0,0
364,0,4,928,474,1402,12,11,7,11,0,0,1386,582,4,0,0,4,2,0,0
365,0,0,928,474,1402,10,12,8,11,0,0,1386,594,4,0,0,4,2,0,0
366,4,0,932,474,1406,10,9,8,11,0,0,1395,594,4,0,0,4,2,0,0
367,3,0,935,474,1409,12,9,8,11,0,0,1399,599,4,0,0,4,2,0,0
368,1,0,936,474,1410,11,9,7,11,0,0,1404,600,4,0,0,4,2,0,0
369,0,2,936,476,1412,11,8,7,9,0,0,1414,596,4,0,0,4,2,0,0
370,3,1,939,477,1416,12,9,6,9,0,0,1422,594,4,0,0,4,2,0,0
371,3,2,942,479,1421,13,8,5,8,0,0,1432,590,4,0,0,4,2,0,0
372,4,4,946,483,1429,12,6,5,8,0,0,1432,590,4,0,0,4,2,0,0
373,0,2,946,485,1431,13,8,5,6,0,0,1440,593,4,0,0,4,2,0,0
374,0,3,946,488,1434,13,7,4,7,0,0,1448,593,4,0,0,4,2,0,0
375,0,9,946,497,1443,13,5,4,5,0,0,1453,588,4,0,0,4,2,0,0
376,2,0,948,497,1445,11,4,4,7,0,0,1466,584,4,0,0,4,2,0,0
377,0,0,948,497,1445,10,3,4,6,0,0,1466,593,4,0,0,4,2,0,0
378,3,0,951,497,1448,11,2,4,5,0,0,1471,592,4,0,0,4,2,0,0
379,3,6,954,503,1457,10,3,3,4,0,0,1471,594,4,0,0,4,2,0,0
380,3,3,957,506,1463,10,2,4,4,0,0,1471,598,4,0,0,4,2,0,0
381,15,0,972,506,1478,12,0,4,4,0,0,1471,590,4,0,0,4,2,0,0
382,0,4,972,510,1482,12,0,3,3,0,0,1473,590,4,0,0,4,2,0,0
383,0,0,972,510,1482,11,1,3,4,0,0,1482,595,4,0,0,4,2,0,0
384,5,0,977,510,1487,11,1,3,5,0,0,1482,595,4,0,0,4,2,0,0
385,3,0,980,510,1490,9,0,3,4,0,0,1489,597,4,0,0,4,2,0,0
386,0,4,980,514,1494,10,1,5,4,0,0,1492,596,4,0,0,4,2,0,0
387,11,5,991,519,1510,10,3,5,6,0,0,1495,586,4,0,0,4,2,0,0
388,0,0,991,519,1510,9,1,4,5,0,0,1502,586,4,0,0,4,2,0,0
389,10,5,1001,524,1525,8,0,3,4,0,0,1506,573,4,0,0,4,2,0,0
390,5,5,1006,529,1535,9,0,1,4,0,0,1509,571,4,0,0,4,2,0,0
391,0,0,1006,529,1535,8,0,2,4,0,0,1517,576,4,0,0,4,2,0,0
392,4,5,1010,534,1544,10,1,2,6,0,0,1525,569,4,0,0,4,2,0,0
393,0,5,1010,539,1549,10,0,3,6,0,0,1528,568,4,0,0,4,2,0,0
394,0,0,1010,539,1549,11,2,4,5,0,0,1534,569,4,0,0,4,2,0,0
395,5,1,1015,540,1555,13,2,3,6,0,0,1543,557,4,0,0,4,2,0,0
396,9,8,1024,548,1572,12,1,3,8,0,0,1549,541,4,0,0,4,2,0,0
397,0,3,1024,551,1575,13,2,4,7,0,0,1554,541,4,0,0,4,2,0,0
398,0,0,1024,551,1575,12,2,4,8,0,0,1563,538,4,0,0,4,2,0,0
399,0,0,1024,551,1575,12,1,4,9,0,0,1564,545,4,0,0,4,2,0,0
400,0,5,1024,556,1580,12,2,3,9,0,0,1577,538,4,0,0,4,2,0,0
401,0,4,1024,560,1584,11,2,1,9,0,0,1578,540,4,0,0,4,2,0,0
402,0,0,1024,560,1584,11,1,1,9,0,0,1578,553,4,0,0,4,2,0,0
403,0,4,1024,564,1588,11,1,2,10,0,0,1578,562,4,0,0,4,2,0,0
404,5,5,1029,569,1598,12,0,0,10,0,0,1578,561,4,0,0,4,2,0,0
405,5,5,1034,574,1608,11,1,0,9,0,0,1584,552,4,0,0,4,2,0,0
406,0,0,1034,574,1608,13,1,0,10,0,0,1584,562,4,0,0,4,2,0,0
407,5,0,1039,574,1613,13,1,1,9,0,0,1588,563,4,0,0,4,2,0,0
408,5,4,1044,578,1622,13,0,1,9,0,0,1593,559,4,0,0,4,2,0,0
409,0,2,1044,580,1624,11,0,1,8,0,0,1593,566,4,0,0,4,2,0,0
410,5,3,1049,583,1632,9,0,2,7,0,0,1603,551,4,0,0,4,2,0,0
411,3,0,1052,583,1635,6,1,4,7,0,0,1603,560,4,0,0,4,2,0,0
412,6,3,1058,586,1644,9,2,5,6,0,0,1606,558,4,0,0,4,2,0,0
413,8,4,1066,590,1656,9,4,5,5,0,0,1615,545,4,0,0,4,2,0,0
414,0,0,1066,590,1656,9,2,5,6,0,0,1620,550,4,0,0,4,2,0,0
415,1,0,1067,590,1657,8,0,5,6,0,0,1628,551,4,0,0,4,2,0,0
416,0,0,1067,590,1657,9,0,5,6,0,0,1633,552,4,0,0,4,2,0,0
417,0,2,1067,592,1659,8,0,5,7,0,0,1634,559,4,0,0,4,2,0,0
418,0,0,1067,592,1659,10,0,5,6,0,0,1638,565,4,0,0,4,2,0,0
419,4,0,1071,592,1663,10,0,5,7,0,0,1643,567,4,0,0,4,2,0,0
420,5,9,1076,601,1677,14,0,4,8,0,0,1651,555,4,0,0,4,2,0,0
421,7,4,1083,605,1688,13,2,3,8,0,0,1651,556,4,0,0,4,2,0,0
422,0,0,1083,605,1688,13,3,4,7,0,0,1655,565,4,0,0,4,2,0,0
423,12,2,1095,607,1702,12,5,4,6,0,0,1655,560,4,0,0,4,2,0,0
424,7,0,1102,607,1709,10,4,3,7,0,0,1658,556,4,0,0,4,2,0,0
425,5,4,1107,611,1718,10,4,3,7,0,0,1660,558,4,0,0,4,2,0,0
426,4,0,1111,611,1722,8,5,4,7,0,0,1661,559,4,0,0,4,2,0,0
427,9,0,1120,611,1731,6,4,4,7,0,0,1667,555,4,0,0,4,2,0,0
428,8,2,1128,613,1741,8,3,4,5,0,0,1668,553,4,0,0,4,2,0,0
429,0,2,1128,615,1743,10,4,4,4,0,0,1672,556,4,0,0,4,2,0,0
430,0,4,1128,619,1747,10,4,5,4,0,0,1677,556,4,0,0,4,2,0,0
431,0,0,1128,619,1747,9,4,5,4,0,0,1680,564,4,0,0,4,2,0,0
432,4,0,1132,619,1751,8,1,5,5,0,0,1680,569,4,0,0,4,2,0,0
433,4,0,1136,619,1755,8,0,5,5,0,0,1683,574,4,0,0,4,2,0,0
434,6,4,1142,623,1765,5,0,4,6,0,0,1690,567,4,0,0,4,2,0,0
435,9,0,1151,623,1774,5,1,5,6,0,0,1697,564,4,0,0,4,2,0,0
436,0,0,1151,623,1774,5,1,5,7,0,0,1702,567,4,0,0,4,2,0,0
437,5,5,1156,628,1784,5,1,5,7,0,0,1714,557,4,0,0,4,2,0,0
438,10,0,1166,628,1794,4,3,4,6,0,0,1724,551,4,0,0,4,2,0,0
439,6,0,1172,628,1800,3,1,4,6,0,0,1727,549,4,0,0,4,2,0,0
440,0,5,1172,633,1805,3,1,3,7,0,0,1727,554,4,0,0,4,2,0,0
441,2,0,1174,633,1807,4,2,3,7,0,0,1731,558,4,0,0,4,2,0,0
442,3,0,1177,633,1810,3,3,4,7,0,0,1737,559,4,0,0,4,2,0,0
443,0,0,1177,633,1810,3,2,3,7,0,0,1744,559,4,0,0,4,2,0,0
444,0,6,1177,639,1816,6,1,2,6,0,0,1749,551,4,0,0,4,2,0,0
445,5,0,1182,639,1821,8,1,2,6,0,0,1756,547,4,0,0,4,2,0,0
446,5,5,1187,644,1831,7,1,0,6,0,0,1761,541,4,0,0,4,2,0,0
447,2,4,1189,648,1837,8,3,0,7,0,0,1763,543,4,0,0,4,2,0,0
448,0,4,1189,652,1841,9,5,1,7,0,0,1763,551,4,0,0,4,2,0,0
449,0,4,1189,656,1845,8,5,0,8,0,0,1763,555,4,0,0,4,2,0,0
450,14,3,1203,659,1862,8,7,0,8,0,0,1767,544,4,0,0,4,2,0,0
451,7,0,1210,659,1869,10,7,0,8,0,0,1768,546,4,0,0,4,2,0,0
452,5,3,1215,662,1877,10,8,0,9,0,0,1770,548,4,0,0,4,2,0,0
453,4,0,1219,662,1881,9,7,0,9,0,0,1777,548,4,0,0,4,2,0,0
454,0,3,1219,665,1884,8,7,0,10,0,0,1783,545,4,0,0,4,2,0,0
455,5,2,1224,667,1891,6,7,0,10,0,0,1789,542,4,0,0,4,2,0,0
456,6,0,1230,667,1897,6,9,0,10,0,0,1793,539,4,0,0,4,2,0,0
457,1,1,1231,668,1899,7,10,0,10,0,0,1793,543,4,0,0,4,2,0,0
458,1,0,1232,668,1900,5,10,0,9,0,0,1795,543,4,0,0,4,2,0,0
459,3,0,1235,668,1903,5,10,0,9,0,0,1800,545,4,0,0,4,2,0,0
460,2,0,1237,668,1905,3,8,0,9,0,0,1809,544,4,0,0,4,2,0,0
461,3,0,1240,668,1908,4,8,0,9,0,0,1809,553,4,0,0,4,2,0,0
462,0,0,1240,668,1908,5,7,0,9,0,0,1819,551,4,0,0,4,2,0,0
463,4,0,1244,668,1912,4,8,0,8,0,0,1827,546,4,0,0,4,2,0,0
464,0,1,1244,669,1913,4,7,0,6,0,0,1831,553,4,0,0,4,2,0,0
465,3,0,1247,669,1916,5,6,1,6,0,0,1841,551,4,0,0,4,2,0,0
466,0,1,1247,670,1917,4,7,0,7,0,0,1846,555,4,0,0,4,2,0,0
467,0,0,1247,670,1917,5,6,0,7,0,0,1853,555,4,0,0,4,2,0,0
468,2,0,1249,670,1919,5,5,0,7,0,0,1858,555,4,0,0,4,2,0,0
469,2,0,1251,670,1921,3,3,1,8,0,0,1865,557,4,0,0,4,2,0,0
470,0,0,1251,670,1921,4,4,2,7,0,0,1869,560,4,0,0,4,2,0,0
471,3,0,1254,670,1924,6,4,1,6,0,0,1873,561,4,0,0,4,2,0,0
472,0,0,1254,670,1924,4,5,0,7,0,0,1873,571,4,0,0,4,2,0,0
473,4,0,1258,670,1928,5,5,0,8,0,0,1876,569,4,0,0,4,2,0,0
474,7,0,1265,670,1935,5,3,0,9,0,0,1876,569,4,0,0,4,2,0,0
475,8,0,1273,670,1943,6,3,0,9,0,0,1880,562,4,0,0,4,2,0,0
476,3,3,1276,673,1949,6,3,0,10,0,0,1885,563,4,0,0,4,2,0,0
477,3,0,1279,673,1952,7,4,0,10,0,0,1887,565,4,0,0,4,2,0,0
478,5,0,1284,673,1957,9,4,1,11,0,0,1887,568,4,0,0,4,2,0,0
479,10,0,1294,673,1967,11,5,1,11,0,0,1887,565,4,0,0,4,2,0,0
480,9,0,1303,673,1976,11,6,1,10,0,0,1894,552,4,0,0,4,2,0,0
481,6,0,1309,673,1982,12,5,2,9,0,0,1894,552,4,0,0,4,2,0,0
482,6,0,1315,673,1988,12,4,1,10,0,0,1895,552,4,0,0,4,2,0,0
483,9,0,1324,673,1997,10,4,2,10,0,0,1899,543,4,0,0,4,2,0,0
484,7,0,1331,673,2004,8,2,1,11,0,0,1904,541,4,0,0,4,2,0,0
485,6,0,1337,673,2010,10,2,1,11,0,0,1909,535,4,0,0,4,2,0,0
486,6,0,1343,673,2016,9,1,1,11,0,0,1909,539,4,0,0,4,2,0,0
487,0,2,1343,675,2018,8,1,3,11,0,0,1915,543,4,0,0,4,2,0,0
488,5,4,1348,679,2027,7,0,3,11,0,0,1919,539,4,0,0,4,2,0,0
489,2,1,1350,680,2030,7,1,3,12,0,0,1931,533,4,0,0,4,2,0,0
490,9,5,1359,685,2044,7,1,3,13,0,0,1942,518,4,0,0,4,2,0,0
491,0,0,1359,685,2044,8,0,3,13,0,0,1946,523,4,0,0,4,2,0,0
492,0,0,1359,685,2044,8,0,3,13,0,0,1953,525,4,0,0,4,2,0,0
493,6,2,1365,687,2052,9,0,2,12,0,0,1958,524,4,0,0,4,2,0,0
494,0,0,1365,687,2052,10,0,2,11,0,0,1959,536,4,0,0,4,2,0,0
495,9,2,1374,689,2063,12,0,2,11,0,0,1961,529,4,0,0,4,2,0,0
496,2,0,1376,689,2065,13,1,3,12,0,0,1965,536,4,0,0,4,2,0,0
497,10,0,1386,689,2075,14,1,3,10,0,0,1970,532,4,0,0,4,2,0,0
498,0,0,1386,689,2075,14,0,4,10,0,0,1970,543,4,0,0,4,2,0,0
499,5,2,1391,691,2082,15,0,5,10,0,0,1975,541,4,0,0,4,2,0,0
